"Date","Price","Open","High","Low","Vol.","Change %"
"08/30/2023","223.67","227.06","227.06","221.91","8.25K","-1.44%"
"08/29/2023","226.94","218.87","233.55","217.01","25.33K","3.74%"
"08/28/2023","218.75","218.42","219.18","215.55","7.91K","0.18%"
"08/27/2023","218.35","216.35","219.74","215.90","4.75K","0.92%"
"08/26/2023","216.35","218.48","218.94","216.11","4.61K","-0.96%"
"08/25/2023","218.44","219.29","219.56","213.94","12.22K","-0.25%"
"08/24/2023","218.98","216.62","220.52","215.64","12.29K","1.12%"
"08/23/2023","216.56","211.00","218.49","210.81","16.84K","2.76%"
"08/22/2023","210.74","210.53","212.69","203.66","21.38K","0.24%"
"08/21/2023","210.23","216.54","216.85","206.54","19.32K","-2.91%"
"08/20/2023","216.54","216.79","217.90","215.45","4.08K","-0.14%"
"08/19/2023","216.84","215.95","219.10","214.14","7.07K","0.42%"
"08/18/2023","215.94","217.91","220.14","213.66","17.87K","-0.90%"
"08/17/2023","217.90","232.02","232.29","214.00","29.80K","-6.06%"
"08/16/2023","231.96","236.66","237.32","231.19","8.85K","-2.00%"
"08/15/2023","236.70","240.35","240.61","235.01","11.29K","-1.51%"
"08/14/2023","240.34","240.06","241.33","239.88","3.59K","0.11%"
"08/13/2023","240.07","240.25","241.75","239.79","3.00K","-0.09%"
"08/12/2023","240.28","239.77","241.07","239.46","3.32K","0.21%"
"08/11/2023","239.77","241.31","242.07","238.19","8.90K","-0.63%"
"08/10/2023","241.29","243.92","243.97","240.55","5.77K","-1.04%"
"08/09/2023","243.82","245.29","245.45","242.83","5.67K","-0.58%"
"08/08/2023","245.25","241.91","247.91","241.54","10.02K","1.32%"
"08/07/2023","242.05","243.31","244.92","239.81","8.87K","-0.44%"
"08/06/2023","243.11","243.23","245.39","242.71","4.32K","-0.05%"
"08/05/2023","243.22","241.62","243.22","240.16","3.47K","0.64%"
"08/04/2023","241.68","240.93","243.27","240.45","5.95K","0.32%"
"08/03/2023","240.91","240.46","241.79","238.58","7.35K","0.12%"
"08/02/2023","240.61","247.78","248.52","235.73","20.78K","-2.79%"
"08/01/2023","247.52","240.86","247.52","238.13","19.01K","2.74%"
"07/31/2023","240.91","242.43","244.45","240.60","6.70K","-0.64%"
"07/30/2023","242.45","242.74","243.74","240.63","5.60K","-0.03%"
"07/29/2023","242.53","241.69","242.81","241.19","2.42K","0.32%"
"07/28/2023","241.75","240.64","242.86","239.87","4.91K","0.47%"
"07/27/2023","240.63","238.93","243.56","238.42","9.11K","0.68%"
"07/26/2023","239.01","237.83","240.40","236.64","10.32K","0.50%"
"07/25/2023","237.81","238.92","239.75","236.66","8.66K","-0.49%"
"07/24/2023","238.98","242.42","243.04","235.69","15.13K","-1.44%"
"07/23/2023","242.46","241.06","243.99","240.59","5.26K","0.58%"
"07/22/2023","241.06","243.62","244.74","240.23","5.45K","-1.07%"
"07/21/2023","243.66","242.84","245.13","242.16","10.90K","0.42%"
"07/20/2023","242.65","240.96","244.95","240.65","14.69K","0.70%"
"07/19/2023","240.96","240.42","244.10","240.01","16.35K","0.26%"
"07/18/2023","240.33","244.08","246.54","238.51","25.02K","-1.57%"
"07/17/2023","244.16","242.02","244.79","240.46","18.72K","0.74%"
"07/16/2023","242.36","251.04","251.87","242.23","10.49K","-3.43%"
"07/15/2023","250.97","248.06","252.47","247.18","9.27K","1.18%"
"07/14/2023","248.05","256.08","261.42","243.68","30.98K","-3.27%"
"07/13/2023","256.44","243.84","257.33","242.74","28.05K","5.20%"
"07/12/2023","243.76","248.47","250.24","242.80","13.61K","-1.87%"
"07/11/2023","248.41","245.99","249.38","244.56","17.31K","0.96%"
"07/10/2023","246.05","233.96","246.22","231.34","37.51K","5.17%"
"07/09/2023","233.96","236.12","236.89","233.06","8.08K","-0.94%"
"07/08/2023","236.17","235.32","237.49","234.23","9.43K","0.27%"
"07/07/2023","235.54","232.43","236.03","231.35","18.70K","1.49%"
"07/06/2023","232.08","238.84","244.17","231.24","29.13K","-2.84%"
"07/05/2023","238.86","242.52","243.78","235.92","21.97K","-1.43%"
"07/04/2023","242.33","246.53","246.68","240.82","20.14K","-1.58%"
"07/03/2023","246.21","246.70","251.50","245.55","21.39K","-0.07%"
"07/02/2023","246.39","247.89","248.39","243.02","17.51K","-0.53%"
"07/01/2023","247.71","240.62","248.94","240.27","19.69K","3.09%"
"06/30/2023","240.29","233.16","241.65","232.05","34.11K","3.11%"
"06/29/2023","233.04","230.71","236.56","230.56","12.84K","1.10%"
"06/28/2023","230.50","237.30","237.30","225.77","25.40K","-2.90%"
"06/27/2023","237.38","236.05","240.67","234.48","14.35K","0.59%"
"06/26/2023","235.99","238.72","241.16","233.67","25.14K","-1.15%"
"06/25/2023","238.73","236.15","241.98","235.24","31.30K","1.08%"
"06/24/2023","236.19","244.11","248.38","231.12","39.05K","-3.27%"
"06/23/2023","244.17","240.65","249.02","239.70","29.42K","1.43%"
"06/22/2023","240.73","248.99","256.59","239.52","40.86K","-3.28%"
"06/21/2023","248.90","247.78","254.45","245.13","44.59K","0.48%"
"06/20/2023","247.71","242.93","247.78","238.79","28.48K","1.98%"
"06/19/2023","242.90","243.89","244.67","238.68","19.11K","-0.52%"
"06/18/2023","244.16","244.51","248.52","242.42","14.13K","-0.16%"
"06/17/2023","244.54","238.79","249.44","237.16","19.94K","2.26%"
"06/16/2023","239.13","236.32","243.01","232.41","33.85K","1.19%"
"06/15/2023","236.32","237.84","240.64","230.62","43.43K","-0.59%"
"06/14/2023","237.73","243.52","252.02","233.34","55.83K","-2.58%"
"06/13/2023","244.03","231.03","245.72","228.92","66.55K","5.56%"
"06/12/2023","231.17","235.21","238.61","221.30","82.46K","-1.73%"
"06/11/2023","235.24","238.85","239.11","233.85","28.26K","-1.45%"
"06/10/2023","238.69","260.58","260.61","229.88","79.33K","-8.46%"
"06/09/2023","260.74","261.85","264.19","256.18","26.60K","-0.49%"
"06/08/2023","262.02","259.18","267.13","257.18","36.59K","1.02%"
"06/07/2023","259.37","281.21","281.53","255.42","53.90K","-7.78%"
"06/06/2023","281.24","276.99","285.73","273.36","32.94K","1.50%"
"06/05/2023","277.09","304.99","305.04","272.55","43.78K","-9.21%"
"06/04/2023","305.19","306.63","307.66","305.00","4.95K","-0.47%"
"06/03/2023","306.64","307.33","308.07","305.39","3.30K","-0.20%"
"06/02/2023","307.25","305.01","308.36","303.43","9.19K","0.77%"
"06/01/2023","304.91","306.62","307.44","303.32","7.51K","-0.58%"
"05/31/2023","306.69","311.28","311.80","305.18","11.84K","-1.53%"
"05/30/2023","311.44","311.65","314.22","310.93","8.50K","-0.11%"
"05/29/2023","311.77","314.51","316.78","310.54","12.67K","-0.78%"
"05/28/2023","314.23","307.58","314.61","306.82","9.56K","2.22%"
"05/27/2023","307.41","306.76","307.74","304.19","5.05K","0.20%"
"05/26/2023","306.81","304.62","308.40","301.90","11.11K","0.68%"
"05/25/2023","304.73","305.92","306.80","302.62","8.06K","-0.39%"
"05/24/2023","305.92","313.23","313.51","303.91","9.41K","-2.39%"
"05/23/2023","313.42","309.14","315.21","309.14","9.13K","1.38%"
"05/22/2023","309.15","306.36","311.09","304.56","9.06K","0.85%"
"05/21/2023","306.53","310.74","311.61","306.07","5.88K","-1.36%"
"05/20/2023","310.77","308.92","312.10","307.85","5.72K","0.60%"
"05/19/2023","308.92","309.33","311.10","307.67","6.56K","-0.16%"
"05/18/2023","309.41","314.10","314.89","306.38","8.85K","-1.49%"
"05/17/2023","314.10","311.47","314.25","307.17","7.77K","0.91%"
"05/16/2023","311.26","313.31","313.90","309.33","7.21K","-0.70%"
"05/15/2023","313.45","311.87","316.18","310.78","5.65K","0.49%"
"05/14/2023","311.92","310.86","314.78","309.57","6.51K","0.34%"
"05/13/2023","310.85","308.66","311.79","307.56","9.51K","0.75%"
"05/12/2023","308.53","307.54","308.89","301.30","12.05K","0.31%"
"05/11/2023","307.57","314.42","314.53","304.60","13.23K","-2.16%"
"05/10/2023","314.36","312.10","316.61","308.85","14.53K","0.71%"
"05/09/2023","312.13","313.59","315.63","311.20","12.03K","-0.46%"
"05/08/2023","313.58","320.60","322.00","311.41","18.82K","-2.29%"
"05/07/2023","320.93","322.06","325.24","320.50","11.38K","-0.33%"
"05/06/2023","322.00","326.53","328.21","319.37","13.43K","-1.38%"
"05/05/2023","326.52","323.99","328.93","323.78","14.88K","0.82%"
"05/04/2023","323.85","326.01","327.43","323.29","10.14K","-0.64%"
"05/03/2023","325.95","321.73","327.44","320.57","20.39K","1.30%"
"05/02/2023","321.76","327.75","328.34","321.51","14.33K","-2.08%"
"05/01/2023","328.60","337.23","339.12","326.42","24.90K","-2.52%"
"04/30/2023","337.11","322.03","337.92","320.57","24.85K","4.70%"
"04/29/2023","321.98","324.13","324.57","321.41","10.17K","-0.64%"
"04/28/2023","324.04","330.73","330.73","318.96","27.79K","-2.04%"
"04/27/2023","330.79","330.64","336.10","328.86","17.53K","0.08%"
"04/26/2023","330.53","338.17","344.89","325.18","21.20K","-2.26%"
"04/25/2023","338.18","331.05","339.79","328.48","16.47K","2.15%"
"04/24/2023","331.07","330.50","333.69","327.91","14.39K","0.14%"
"04/23/2023","330.60","331.95","332.14","327.31","12.73K","-0.32%"
"04/22/2023","331.67","321.27","332.91","319.86","14.87K","3.20%"
"04/21/2023","321.40","317.96","331.97","315.93","37.74K","1.11%"
"04/20/2023","317.86","322.26","326.65","315.50","17.72K","-1.40%"
"04/19/2023","322.37","342.92","343.71","320.24","25.50K","-6.00%"
"04/18/2023","342.94","339.89","346.37","337.16","15.70K","0.84%"
"04/17/2023","340.10","347.59","350.05","337.93","22.07K","-2.15%"
"04/16/2023","347.58","332.78","350.11","330.31","23.65K","4.39%"
"04/15/2023","332.97","328.57","335.92","327.17","14.50K","1.21%"
"04/14/2023","328.98","324.74","335.61","323.68","26.00K","1.31%"
"04/13/2023","324.73","320.10","324.95","318.04","10.90K","1.53%"
"04/12/2023","319.83","322.58","323.41","316.99","13.78K","-0.86%"
"04/11/2023","322.60","318.60","332.98","317.84","25.32K","1.31%"
"04/10/2023","318.44","312.82","318.44","311.82","8.83K","1.80%"
"04/09/2023","312.80","310.52","313.58","309.64","6.62K","0.72%"
"04/08/2023","310.55","310.34","312.51","310.21","8.04K","0.08%"
"04/07/2023","310.29","312.13","312.73","309.72","7.91K","-0.55%"
"04/06/2023","312.02","313.93","314.92","310.59","10.95K","-0.63%"
"04/05/2023","314.00","310.67","316.44","310.30","11.66K","1.02%"
"04/04/2023","310.83","308.76","312.30","308.16","14.04K","0.75%"
"04/03/2023","308.52","314.00","314.20","300.21","23.54K","-1.72%"
"04/02/2023","313.93","314.97","316.25","310.95","7.25K","-0.28%"
"04/01/2023","314.80","317.08","318.56","313.07","6.58K","-0.71%"
"03/31/2023","317.06","316.40","319.66","313.73","12.02K","0.23%"
"03/30/2023","316.32","313.67","318.27","310.25","20.77K","0.82%"
"03/29/2023","313.74","313.05","319.58","312.46","19.18K","0.13%"
"03/28/2023","313.33","310.56","315.40","306.92","17.38K","0.86%"
"03/27/2023","310.67","328.38","329.55","306.14","27.96K","-5.45%"
"03/26/2023","328.58","322.33","329.35","321.80","10.67K","1.91%"
"03/25/2023","322.41","322.17","324.77","319.19","14.02K","0.16%"
"03/24/2023","321.89","329.64","329.98","317.33","21.42K","-2.29%"
"03/23/2023","329.42","320.72","331.82","319.14","19.35K","2.60%"
"03/22/2023","321.08","334.76","339.09","316.77","36.40K","-4.02%"
"03/21/2023","334.53","332.24","339.39","327.59","16.19K","0.63%"
"03/20/2023","332.43","336.08","338.94","331.56","21.65K","-1.01%"
"03/19/2023","335.81","330.71","341.19","330.71","18.58K","1.40%"
"03/18/2023","331.17","338.90","345.82","329.88","26.15K","-2.10%"
